Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2012,0.02,0.05,0.11,0.16,0.25,0.36,0.72,1.18,1.78,2.54,2.95
12/28/2012,0.00,0.01,0.10,0.15,0.27,0.36,0.72,1.15,1.73,2.47,2.88
12/27/2012,0.01,0.08,0.12,0.15,0.26,0.37,0.72,1.15,1.74,2.48,2.89
12/26/2012,0.05,0.09,0.13,0.16,0.26,0.39,0.76,1.20,1.77,2.52,2.94
12/24/2012,0.03,0.06,0.11,0.16,0.26,0.38,0.77,1.22,1.79,2.53,2.94
12/21/2012,0.02,0.06,0.12,0.15,0.26,0.38,0.75,1.20,1.77,2.52,2.93
12/20/2012,0.02,0.06,0.10,0.15,0.28,0.39,0.77,1.24,1.81,2.57,2.98
12/19/2012,0.03,0.05,0.10,0.15,0.28,0.39,0.77,1.24,1.82,2.58,2.99
12/18/2012,0.04,0.06,0.12,0.16,0.28,0.39,0.78,1.25,1.84,2.59,3.00
12/17/2012,0.01,0.05,0.10,0.13,0.25,0.37,0.74,1.20,1.78,2.53,2.94
12/14/2012,0.01,0.04,0.09,0.13,0.24,0.34,0.70,1.15,1.72,2.46,2.87
12/13/2012,0.02,0.06,0.11,0.14,0.27,0.34,0.70,1.15,1.74,2.49,2.90
12/12/2012,0.04,0.07,0.10,0.14,0.25,0.32,0.66,1.11,1.72,2.48,2.90
12/11/2012,0.04,0.08,0.13,0.16,0.24,0.32,0.64,1.06,1.66,2.41,2.83
12/10/2012,0.05,0.09,0.14,0.18,0.24,0.33,0.62,1.04,1.63,2.38,2.80
12/07/2012,0.06,0.09,0.14,0.18,0.25,0.33,0.63,1.04,1.64,2.39,2.81
12/06/2012,0.07,0.10,0.14,0.18,0.25,0.32,0.60,1.00,1.59,2.33,2.76
12/05/2012,0.07,0.10,0.14,0.18,0.25,0.32,0.61,1.02,1.60,2.35,2.78
12/04/2012,0.07,0.10,0.15,0.18,0.25,0.34,0.63,1.04,1.62,2.36,2.78
12/03/2012,0.13,0.10,0.14,0.18,0.25,0.34,0.63,1.05,1.63,2.37,2.80
11/30/2012,0.11,0.08,0.13,0.18,0.25,0.34,0.61,1.04,1.62,2.37,2.81
11/29/2012,0.16,0.09,0.15,0.18,0.25,0.35,0.63,1.04,1.62,2.37,2.79
11/28/2012,0.17,0.10,0.14,0.18,0.27,0.35,0.64,1.05,1.63,2.36,2.79
11/27/2012,0.17,0.10,0.15,0.18,0.27,0.36,0.66,1.07,1.64,2.38,2.79
11/26/2012,0.14,0.10,0.15,0.17,0.27,0.36,0.68,1.09,1.66,2.39,2.80
11/23/2012,0.16,0.10,0.14,0.19,0.29,0.37,0.70,1.12,1.70,2.42,2.83
11/21/2012,0.17,0.10,0.14,0.17,0.27,0.37,0.69,1.11,1.69,2.42,2.83
11/20/2012,0.15,0.08,0.14,0.16,0.27,0.36,0.67,1.09,1.66,2.40,2.82
11/19/2012,0.06,0.09,0.14,0.16,0.25,0.33,0.64,1.04,1.61,2.34,2.76
11/16/2012,0.07,0.06,0.13,0.16,0.24,0.32,0.62,1.01,1.58,2.31,2.73
11/15/2012,0.13,0.08,0.14,0.17,0.24,0.32,0.62,1.02,1.58,2.30,2.72
11/14/2012,0.15,0.10,0.15,0.18,0.25,0.33,0.63,1.03,1.59,2.31,2.73
11/13/2012,0.12,0.11,0.15,0.18,0.27,0.33,0.63,1.02,1.59,2.31,2.72
11/09/2012,0.13,0.09,0.15,0.18,0.27,0.35,0.65,1.04,1.61,2.34,2.75
11/08/2012,0.13,0.10,0.15,0.20,0.27,0.35,0.65,1.04,1.62,2.35,2.77
11/07/2012,0.12,0.10,0.14,0.18,0.27,0.36,0.67,1.08,1.68,2.42,2.83
