Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr"
12/31/2004,1.89,2.22,2.59,2.75,3.08,3.25,3.63,3.94,4.24,4.85
12/30/2004,1.68,2.22,2.59,2.76,3.10,3.27,3.64,3.97,4.27,4.92
12/29/2004,1.76,2.22,2.60,2.77,3.12,3.32,3.69,4.03,4.33,4.96
12/28/2004,1.88,2.25,2.62,2.77,3.08,3.27,3.66,4.00,4.31,4.94
12/27/2004,1.90,2.26,2.63,2.78,3.07,3.26,3.65,3.99,4.30,4.95
12/23/2004,1.83,2.19,2.54,2.70,3.02,3.21,3.58,3.92,4.23,4.86
12/22/2004,1.84,2.18,2.53,2.71,3.04,3.21,3.57,3.91,4.21,4.85
12/21/2004,1.92,2.20,2.54,2.72,3.05,3.22,3.57,3.89,4.18,4.82
12/20/2004,1.97,2.22,2.54,2.72,3.06,3.23,3.59,3.91,4.21,4.84
12/17/2004,1.95,2.20,2.48,2.67,3.03,3.22,3.59,3.91,4.21,4.85
12/16/2004,1.93,2.20,2.47,2.66,3.01,3.21,3.58,3.89,4.19,4.84
12/15/2004,1.98,2.21,2.47,2.64,2.97,3.14,3.48,3.78,4.09,4.72
12/14/2004,2.01,2.21,2.48,2.65,2.99,3.17,3.53,3.83,4.14,4.79
12/13/2004,2.04,2.24,2.50,2.66,2.98,3.18,3.54,3.85,4.16,4.81
12/10/2004,2.07,2.25,2.44,2.61,2.95,3.15,3.52,3.85,4.16,4.83
12/09/2004,2.07,2.24,2.42,2.59,2.93,3.15,3.54,3.87,4.19,4.84
12/08/2004,2.08,2.24,2.42,2.59,2.91,3.12,3.53,3.85,4.14,4.80
12/07/2004,2.08,2.25,2.43,2.60,2.95,3.19,3.60,3.94,4.23,4.91
12/06/2004,2.09,2.25,2.44,2.60,2.93,3.17,3.59,3.94,4.24,4.92
12/03/2004,2.06,2.21,2.39,2.58,2.94,3.19,3.61,3.96,4.27,4.95
12/02/2004,2.06,2.22,2.41,2.62,3.04,3.30,3.75,4.10,4.40,5.07
12/01/2004,2.06,2.22,2.40,2.60,3.01,3.28,3.72,4.08,4.38,5.04
11/30/2004,2.07,2.23,2.44,2.63,3.02,3.29,3.72,4.07,4.36,5.03
11/29/2004,2.02,2.23,2.46,2.66,3.07,3.31,3.72,4.06,4.34,4.99
11/26/2004,2.01,2.21,2.40,2.61,3.03,3.25,3.64,3.98,4.24,4.90
11/24/2004,1.98,2.18,2.40,2.60,3.01,3.23,3.61,3.93,4.20,4.85
11/23/2004,1.99,2.19,2.41,2.60,2.98,3.20,3.58,3.92,4.19,4.85
11/22/2004,1.98,2.20,2.43,2.60,2.95,3.18,3.56,3.90,4.18,4.85
11/19/2004,1.98,2.15,2.36,2.56,2.95,3.17,3.57,3.91,4.20,4.89
11/18/2004,1.91,2.13,2.34,2.51,2.86,3.08,3.48,3.81,4.12,4.82
11/17/2004,1.90,2.13,2.33,2.50,2.85,3.07,3.47,3.83,4.14,4.85
11/16/2004,1.93,2.14,2.36,2.54,2.91,3.14,3.56,3.91,4.21,4.92
11/15/2004,1.92,2.12,2.34,2.53,2.89,3.12,3.53,3.89,4.20,4.91
11/12/2004,1.91,2.08,2.31,2.49,2.86,3.10,3.53,3.89,4.20,4.91
11/10/2004,1.88,2.08,2.29,2.47,2.82,3.07,3.56,3.89,4.25,4.97
11/09/2004,1.89,2.08,2.29,2.46,2.80,3.05,3.53,3.88,4.22,4.95
11/08/2004,1.88,2.07,2.30,2.47,2.80,3.08,3.51,3.88,4.22,4.95
11/05/2004,1.86,2.03,2.27,2.44,2.80,3.04,3.51,3.88,4.21,4.92
11/04/2004,1.85,1.98,2.19,2.34,2.63,2.89,3.37,3.76,4.10,4.82
11/03/2004,1.83,1.96,2.18,2.32,2.60,2.85,3.35,3.74,4.09,4.83
11/02/2004,1.86,1.97,2.19,2.33,2.60,2.86,3.34,3.75,4.10,4.84
11/01/2004,1.79,1.99,2.20,2.34,2.61,2.89,3.36,3.76,4.11,4.84
10/29/2004,1.73,1.91,2.13,2.28,2.56,2.82,3.30,3.70,4.05,4.79
10/28/2004,1.71,1.91,2.14,2.29,2.59,2.86,3.34,3.74,4.09,4.83
10/27/2004,1.78,1.92,2.13,2.30,2.63,2.89,3.37,3.76,4.11,4.85
10/26/2004,1.82,1.91,2.10,2.24,2.54,2.80,3.26,3.65,4.01,4.75
10/25/2004,1.73,1.90,2.10,2.24,2.54,2.78,3.25,3.63,3.99,4.74
10/22/2004,1.65,1.85,2.07,2.23,2.55,2.79,3.26,3.66,4.00,4.75
10/21/2004,1.64,1.85,2.06,2.23,2.57,2.83,3.29,3.68,4.01,4.76
10/20/2004,1.62,1.82,2.04,2.20,2.53,2.78,3.26,3.66,4.01,4.77
10/19/2004,1.63,1.82,2.05,2.22,2.57,2.84,3.32,3.73,4.07,4.83
10/18/2004,1.61,1.81,2.05,2.21,2.55,2.82,3.31,3.72,4.07,4.84
10/15/2004,1.59,1.76,2.00,2.18,2.53,2.80,3.31,3.72,4.07,4.84
10/14/2004,1.60,1.74,1.99,2.15,2.48,2.76,3.26,3.68,4.03,4.81
10/13/2004,1.59,1.72,2.00,2.17,2.53,2.80,3.32,3.74,4.09,4.86
10/12/2004,1.59,1.72,2.02,2.20,2.56,2.84,3.35,3.77,4.12,4.88
10/08/2004,1.56,1.71,2.01,2.21,2.61,2.88,3.39,3.80,4.15,4.91
10/07/2004,1.56,1.70,2.03,2.26,2.72,3.01,3.53,3.92,4.26,5.00
10/06/2004,1.56,1.71,2.04,2.26,2.70,2.99,3.51,3.88,4.23,4.97
