Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2013,0.01,0.07,0.10,0.13,0.38,0.78,1.75,2.45,3.04,3.72,3.96
12/30/2013,0.01,0.07,0.10,0.13,0.39,0.77,1.71,2.40,2.99,3.66,3.90
12/27/2013,0.01,0.07,0.09,0.12,0.40,0.79,1.74,2.44,3.02,3.70,3.94
12/26/2013,0.00,0.07,0.09,0.13,0.42,0.81,1.74,2.43,3.00,3.68,3.92
12/24/2013,0.01,0.07,0.09,0.14,0.38,0.80,1.73,2.43,2.99,3.66,3.90
12/23/2013,0.01,0.07,0.09,0.14,0.38,0.77,1.68,2.37,2.94,3.60,3.85
12/20/2013,0.02,0.07,0.09,0.13,0.37,0.74,1.66,2.33,2.89,3.57,3.82
12/19/2013,0.01,0.06,0.09,0.13,0.35,0.70,1.63,2.35,2.94,3.64,3.91
12/18/2013,0.01,0.07,0.10,0.13,0.32,0.64,1.55,2.26,2.89,3.63,3.90
12/17/2013,0.02,0.07,0.09,0.14,0.34,0.65,1.52,2.22,2.85,3.60,3.88
12/16/2013,0.02,0.07,0.09,0.13,0.34,0.68,1.55,2.26,2.89,3.63,3.90
12/13/2013,0.02,0.07,0.09,0.14,0.34,0.68,1.55,2.25,2.88,3.61,3.88
12/12/2013,0.01,0.07,0.09,0.14,0.34,0.67,1.55,2.26,2.89,3.63,3.91
12/11/2013,0.02,0.07,0.10,0.13,0.31,0.63,1.50,2.21,2.86,3.61,3.87
12/10/2013,0.03,0.07,0.10,0.14,0.30,0.62,1.46,2.17,2.81,3.56,3.83
12/09/2013,0.04,0.07,0.10,0.13,0.30,0.64,1.50,2.23,2.86,3.61,3.88
12/06/2013,0.03,0.06,0.10,0.13,0.30,0.64,1.51,2.23,2.88,3.63,3.90
12/05/2013,0.02,0.06,0.10,0.13,0.30,0.61,1.49,2.23,2.88,3.65,3.92
12/04/2013,0.04,0.06,0.10,0.14,0.30,0.60,1.45,2.19,2.84,3.63,3.90
12/03/2013,0.04,0.06,0.10,0.13,0.28,0.58,1.40,2.13,2.79,3.56,3.84
12/02/2013,0.02,0.05,0.10,0.13,0.30,0.59,1.43,2.16,2.81,3.58,3.86
11/29/2013,0.05,0.06,0.11,0.13,0.28,0.56,1.37,2.10,2.75,3.54,3.82
11/27/2013,0.06,0.07,0.11,0.13,0.28,0.55,1.36,2.08,2.74,3.52,3.81
11/26/2013,0.07,0.07,0.11,0.13,0.29,0.55,1.34,2.05,2.71,3.50,3.80
11/25/2013,0.04,0.08,0.11,0.14,0.30,0.57,1.37,2.08,2.74,3.53,3.83
11/22/2013,0.02,0.07,0.10,0.12,0.31,0.57,1.37,2.10,2.75,3.54,3.84
11/21/2013,0.02,0.07,0.10,0.12,0.29,0.55,1.38,2.12,2.79,3.59,3.89
11/20/2013,0.06,0.08,0.11,0.12,0.28,0.57,1.39,2.13,2.80,3.61,3.90
11/19/2013,0.05,0.08,0.10,0.14,0.29,0.58,1.37,2.06,2.71,3.50,3.80
11/18/2013,0.05,0.09,0.10,0.13,0.31,0.56,1.33,2.02,2.67,3.46,3.76
11/15/2013,0.06,0.08,0.10,0.13,0.31,0.58,1.36,2.06,2.71,3.50,3.80
11/14/2013,0.06,0.08,0.10,0.13,0.29,0.56,1.34,2.04,2.69,3.49,3.79
11/13/2013,0.06,0.08,0.10,0.13,0.32,0.61,1.41,2.10,2.75,3.54,3.83
11/12/2013,0.05,0.08,0.10,0.13,0.34,0.65,1.47,2.16,2.80,3.57,3.86
11/08/2013,0.04,0.06,0.09,0.12,0.32,0.62,1.42,2.12,2.77,3.55,3.84
11/07/2013,0.04,0.05,0.09,0.11,0.29,0.55,1.31,1.98,2.63,3.41,3.71
11/06/2013,0.05,0.05,0.09,0.11,0.30,0.58,1.34,2.02,2.67,3.46,3.77
11/05/2013,0.06,0.05,0.08,0.10,0.32,0.60,1.39,2.06,2.69,3.46,3.76
11/04/2013,0.02,0.05,0.09,0.09,0.32,0.60,1.36,2.01,2.63,3.40,3.70
11/01/2013,0.03,0.04,0.08,0.10,0.33,0.61,1.37,2.03,2.65,3.40,3.69
10/31/2013,0.03,0.04,0.08,0.10,0.31,0.57,1.31,1.95,2.57,3.33,3.63
10/30/2013,0.05,0.04,0.09,0.11,0.33,0.58,1.30,1.93,2.55,3.33,3.63
10/29/2013,0.06,0.04,0.08,0.11,0.31,0.59,1.29,1.90,2.53,3.31,3.62
10/28/2013,0.02,0.04,0.08,0.11,0.32,0.59,1.31,1.91,2.54,3.31,3.61
10/25/2013,0.02,0.04,0.08,0.11,0.32,0.59,1.30,1.90,2.53,3.30,3.60
10/24/2013,0.02,0.03,0.07,0.12,0.33,0.59,1.32,1.92,2.53,3.30,3.61
10/23/2013,0.02,0.04,0.07,0.11,0.31,0.60,1.30,1.90,2.51,3.29,3.59
10/22/2013,0.04,0.04,0.07,0.10,0.31,0.59,1.30,1.92,2.54,3.31,3.61
10/21/2013,0.02,0.04,0.07,0.11,0.33,0.63,1.38,2.01,2.63,3.39,3.68
10/18/2013,0.01,0.04,0.08,0.12,0.33,0.62,1.35,1.98,2.60,3.36,3.65
10/17/2013,0.01,0.05,0.08,0.13,0.33,0.61,1.35,1.98,2.61,3.36,3.66
10/16/2013,0.14,0.10,0.11,0.15,0.34,0.64,1.41,2.06,2.69,3.43,3.72
10/15/2013,0.32,0.14,0.16,0.16,0.37,0.68,1.45,2.11,2.75,3.50,3.78
10/11/2013,0.25,0.08,0.07,0.14,0.35,0.66,1.42,2.07,2.70,3.45,3.74
10/10/2013,0.25,0.05,0.07,0.14,0.35,0.68,1.44,2.09,2.71,3.46,3.75
10/09/2013,0.26,0.05,0.08,0.15,0.37,0.68,1.43,2.06,2.68,3.43,3.73
10/08/2013,0.27,0.05,0.09,0.15,0.40,0.70,1.43,2.05,2.66,3.41,3.70
10/07/2013,0.13,0.03,0.06,0.12,0.37,0.66,1.41,2.03,2.65,3.41,3.70
10/04/2013,0.11,0.03,0.04,0.11,0.33,0.66,1.41,2.05,2.66,3.43,3.73
10/03/2013,0.12,0.03,0.05,0.11,0.33,0.61,1.36,1.99,2.62,3.40,3.71
10/02/2013,0.08,0.02,0.05,0.11,0.31,0.62,1.38,2.01,2.63,3.41,3.70
10/01/2013,0.10,0.02,0.04,0.10,0.33,0.66,1.42,2.04,2.66,3.43,3.72
09/30/2013,0.03,0.02,0.04,0.10,0.33,0.63,1.39,2.02,2.64,3.41,3.69
09/27/2013,0.03,0.02,0.03,0.10,0.34,0.64,1.40,2.02,2.64,3.40,3.68
09/26/2013,0.04,0.00,0.03,0.09,0.34,0.67,1.43,2.05,2.66,3.41,3.69
09/25/2013,0.02,0.02,0.05,0.10,0.36,0.66,1.41,2.01,2.63,3.37,3.65
09/24/2013,0.02,0.02,0.05,0.10,0.35,0.67,1.44,2.05,2.67,3.40,3.67
09/23/2013,0.01,0.02,0.05,0.10,0.35,0.68,1.48,2.10,2.72,3.46,3.73
09/20/2013,0.01,0.01,0.05,0.11,0.34,0.69,1.50,2.13,2.75,3.50,3.77
09/19/2013,0.00,0.01,0.03,0.10,0.34,0.69,1.49,2.13,2.76,3.52,3.80
09/18/2013,0.01,0.01,0.04,0.11,0.34,0.67,1.43,2.05,2.69,3.46,3.75
09/17/2013,0.01,0.01,0.04,0.12,0.39,0.78,1.62,2.26,2.86,3.57,3.84
09/16/2013,0.01,0.02,0.04,0.13,0.41,0.80,1.65,2.27,2.88,3.61,3.87
09/13/2013,0.01,0.01,0.02,0.13,0.45,0.87,1.71,2.32,2.90,3.59,3.84
09/12/2013,0.01,0.01,0.02,0.13,0.45,0.87,1.72,2.34,2.92,3.60,3.85
09/11/2013,0.01,0.02,0.05,0.12,0.47,0.88,1.72,2.34,2.93,3.61,3.85
09/10/2013,0.01,0.02,0.04,0.13,0.50,0.92,1.78,2.40,2.96,3.65,3.88
