Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2015,0.14,0.16,0.49,0.65,1.06,1.31,1.76,2.09,2.27,2.67,3.01
12/30/2015,0.08,0.21,0.47,0.64,1.08,1.36,1.80,2.14,2.31,2.69,3.04
12/29/2015,0.18,0.23,0.50,0.67,1.09,1.38,1.81,2.12,2.32,2.69,3.04
12/28/2015,0.13,0.23,0.51,0.66,1.05,1.33,1.73,2.05,2.24,2.59,2.95
12/24/2015,0.15,0.20,0.49,0.64,1.03,1.33,1.73,2.06,2.25,2.61,2.96
12/23/2015,0.19,0.20,0.47,0.65,1.01,1.32,1.74,2.07,2.27,2.64,3.00
12/22/2015,0.19,0.21,0.47,0.66,0.99,1.31,1.71,2.04,2.24,2.60,2.96
12/21/2015,0.14,0.24,0.51,0.64,0.96,1.28,1.67,2.00,2.20,2.55,2.92
12/18/2015,0.16,0.19,0.47,0.67,0.97,1.27,1.67,2.00,2.19,2.54,2.90
12/17/2015,0.18,0.23,0.48,0.69,1.00,1.33,1.73,2.05,2.24,2.57,2.94
12/16/2015,0.20,0.27,0.51,0.70,1.02,1.35,1.75,2.11,2.30,2.65,3.02
12/15/2015,0.21,0.25,0.54,0.69,0.98,1.29,1.71,2.06,2.28,2.62,3.00
12/14/2015,0.13,0.26,0.54,0.68,0.97,1.25,1.66,2.02,2.23,2.59,2.96
12/11/2015,0.15,0.23,0.52,0.68,0.88,1.16,1.56,1.91,2.13,2.49,2.87
12/10/2015,0.19,0.24,0.55,0.71,0.95,1.25,1.68,2.03,2.24,2.60,2.98
12/09/2015,0.19,0.26,0.53,0.72,0.93,1.22,1.64,1.99,2.22,2.59,2.97
12/08/2015,0.23,0.27,0.58,0.76,0.94,1.25,1.68,2.02,2.24,2.61,2.97
12/07/2015,0.21,0.29,0.57,0.67,0.94,1.24,1.67,2.02,2.23,2.59,2.95
12/04/2015,0.17,0.23,0.49,0.60,0.96,1.25,1.71,2.06,2.28,2.65,3.01
