Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2001,1.68,1.74,1.83,2.17,3.07,3.59,4.38,4.84,5.07,5.74,5.48
12/28/2001,1.73,1.72,1.83,2.26,3.16,3.69,4.46,4.93,5.15,5.82,5.54
12/27/2001,1.75,1.74,1.84,2.27,3.19,3.71,4.46,4.90,5.13,5.78,5.49
12/26/2001,1.77,1.75,1.87,2.34,3.26,3.80,4.55,5.00,5.22,5.84,5.52
12/24/2001,1.66,1.72,1.83,2.24,3.22,3.74,4.49,4.95,5.18,5.81,5.49
12/21/2001,1.67,1.71,1.81,2.23,3.17,3.69,4.45,4.89,5.12,5.76,5.45
12/20/2001,1.67,1.69,1.79,2.22,3.15,3.67,4.42,4.86,5.08,5.73,5.43
12/19/2001,1.69,1.69,1.80,2.23,3.11,3.63,4.38,4.84,5.08,5.73,5.45
12/18/2001,1.72,1.71,1.81,2.24,3.13,3.66,4.46,4.93,5.16,5.81,5.52
12/17/2001,1.72,1.74,1.84,2.24,3.21,3.74,4.54,5.03,5.26,5.91,5.61
12/14/2001,1.70,1.73,1.81,2.22,3.20,3.73,4.52,5.01,5.24,5.89,5.59
12/13/2001,1.69,1.69,1.78,2.20,3.09,3.62,4.40,4.90,5.13,5.81,5.53
12/12/2001,1.69,1.67,1.74,2.13,2.97,3.48,4.29,4.78,5.02,5.74,5.47
12/11/2001,1.66,1.66,1.73,2.12,3.03,3.56,4.38,4.89,5.13,5.83,5.55
12/10/2001,1.68,1.71,1.79,2.17,3.10,3.63,4.46,4.95,5.17,5.86,5.58
12/07/2001,1.69,1.69,1.81,2.26,3.19,3.72,4.50,4.98,5.20,5.90,5.60
12/06/2001,1.73,1.75,1.91,2.35,3.19,3.70,4.38,4.83,5.04,5.72,5.47
12/05/2001,1.77,1.77,1.88,2.27,3.07,3.55,4.24,4.70,4.92,5.61,5.35
12/04/2001,1.81,1.74,1.80,2.07,2.81,3.30,3.99,4.46,4.70,5.43,5.22
12/03/2001,1.85,1.78,1.81,2.08,2.82,3.28,4.04,4.51,4.75,5.49,5.26
11/30/2001,1.87,1.78,1.79,2.06,2.84,3.30,4.08,4.55,4.78,5.54,5.27
11/29/2001,1.90,1.80,1.80,2.03,2.87,3.33,4.10,4.56,4.79,5.52,5.24
11/28/2001,1.96,1.87,1.92,2.26,3.12,3.60,4.33,4.76,4.98,5.63,5.36
11/27/2001,2.01,1.92,1.98,2.36,3.11,3.58,4.32,4.77,4.98,5.64,5.37
11/26/2001,2.00,1.98,2.04,2.43,3.22,3.70,4.41,4.85,5.05,5.66,5.39
11/23/2001,2.00,1.95,2.02,2.41,3.20,3.68,4.40,4.83,5.04,5.65,5.39
11/21/2001,2.00,1.96,2.02,2.38,3.11,3.58,4.31,4.78,4.98,5.59,5.35
11/20/2001,2.02,1.95,1.99,2.31,2.96,3.41,4.17,4.66,4.88,5.50,5.30
11/19/2001,2.02,1.94,2.00,2.31,2.92,3.38,4.12,4.58,4.80,5.42,5.22
