Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/30/2016,0.44,0.51,0.62,0.85,1.20,1.47,1.93,2.25,2.45,2.79,3.06
12/29/2016,0.39,0.47,0.62,0.85,1.22,1.49,1.96,2.30,2.49,2.82,3.08
12/28/2016,0.48,0.53,0.62,0.90,1.26,1.55,2.02,2.32,2.51,2.83,3.09
12/27/2016,0.50,0.51,0.66,0.89,1.28,1.58,2.07,2.37,2.57,2.88,3.14
12/23/2016,0.42,0.52,0.65,0.87,1.22,1.54,2.04,2.35,2.55,2.86,3.12
12/22/2016,0.42,0.51,0.65,0.87,1.22,1.54,2.04,2.36,2.55,2.86,3.12
12/21/2016,0.46,0.52,0.65,0.88,1.21,1.54,2.04,2.35,2.55,2.86,3.12
12/20/2016,0.48,0.52,0.66,0.90,1.25,1.56,2.06,2.38,2.57,2.88,3.15
12/19/2016,0.45,0.52,0.65,0.90,1.24,1.55,2.03,2.35,2.54,2.85,3.12
12/16/2016,0.46,0.51,0.65,0.91,1.28,1.59,2.07,2.41,2.60,2.91,3.19
12/15/2016,0.48,0.51,0.65,0.91,1.29,1.61,2.10,2.42,2.60,2.89,3.16
12/14/2016,0.49,0.55,0.66,0.92,1.27,1.57,2.02,2.34,2.54,2.86,3.14
12/13/2016,0.47,0.54,0.66,0.88,1.17,1.46,1.92,2.26,2.48,2.85,3.14
12/12/2016,0.42,0.51,0.64,0.85,1.15,1.44,1.90,2.26,2.49,2.86,3.16
12/09/2016,0.41,0.54,0.64,0.85,1.15,1.43,1.89,2.26,2.47,2.87,3.16
12/08/2016,0.39,0.51,0.62,0.84,1.12,1.40,1.83,2.20,2.40,2.81,3.10
12/07/2016,0.38,0.52,0.63,0.85,1.10,1.39,1.80,2.14,2.34,2.73,3.02
12/06/2016,0.35,0.49,0.63,0.83,1.12,1.41,1.84,2.18,2.39,2.77,3.08
12/05/2016,0.34,0.49,0.63,0.82,1.13,1.42,1.84,2.19,2.39,2.76,3.05
12/02/2016,0.34,0.49,0.61,0.80,1.11,1.40,1.84,2.20,2.40,2.78,3.08
12/01/2016,0.32,0.48,0.60,0.82,1.14,1.45,1.90,2.25,2.45,2.82,3.10
11/30/2016,0.38,0.48,0.62,0.80,1.11,1.40,1.83,2.18,2.37,2.73,3.02
11/29/2016,0.34,0.48,0.60,0.78,1.09,1.37,1.78,2.12,2.30,2.66,2.95
11/28/2016,0.32,0.48,0.60,0.79,1.11,1.38,1.80,2.13,2.32,2.68,2.99
11/25/2016,0.34,0.49,0.62,0.81,1.12,1.41,1.83,2.18,2.36,2.71,3.01
11/23/2016,0.35,0.51,0.63,0.80,1.12,1.40,1.83,2.17,2.36,2.71,3.02
11/22/2016,0.34,0.49,0.61,0.78,1.07,1.35,1.77,2.12,2.31,2.69,3.00
11/21/2016,0.28,0.46,0.60,0.78,1.08,1.36,1.79,2.13,2.33,2.69,3.00
11/18/2016,0.28,0.44,0.60,0.77,1.07,1.36,1.80,2.14,2.34,2.70,3.01
