Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2002,1.20,1.22,1.23,1.32,1.61,1.99,2.78,3.36,3.83,4.83,
12/30/2002,1.15,1.22,1.24,1.36,1.61,1.95,2.76,3.34,3.82,4.82,
12/27/2002,1.07,1.16,1.23,1.36,1.60,1.97,2.79,3.36,3.83,4.83,
12/26/2002,1.14,1.18,1.27,1.41,1.70,2.08,2.89,3.47,3.93,4.91,
12/24/2002,1.17,1.19,1.26,1.42,1.73,2.10,2.92,3.51,3.95,4.93,
12/23/2002,1.15,1.19,1.26,1.43,1.79,2.17,2.95,3.54,3.98,4.98,
12/20/2002,1.18,1.21,1.25,1.39,1.76,2.15,2.93,3.53,3.97,4.97,
12/19/2002,1.19,1.21,1.24,1.37,1.74,2.13,2.91,3.52,3.96,4.97,
12/18/2002,1.20,1.21,1.26,1.43,1.81,2.21,3.03,3.63,4.06,5.05,
12/17/2002,1.22,1.22,1.27,1.48,1.89,2.30,3.11,3.71,4.13,5.11,
12/16/2002,1.20,1.23,1.29,1.50,1.94,2.35,3.14,3.75,4.15,5.11,
12/13/2002,1.20,1.21,1.28,1.47,1.87,2.27,3.08,3.68,4.07,5.03,
12/12/2002,1.20,1.21,1.27,1.46,1.85,2.25,3.03,3.62,4.01,4.97,
12/11/2002,1.23,1.21,1.26,1.46,1.85,2.24,3.02,3.61,4.01,4.97,
12/10/2002,1.23,1.21,1.27,1.48,1.90,2.30,3.07,3.67,4.06,5.02,
12/09/2002,1.24,1.23,1.28,1.48,1.88,2.28,3.08,3.68,4.06,5.05,
12/06/2002,1.23,1.21,1.27,1.47,1.89,2.31,3.13,3.73,4.09,5.08,
12/05/2002,1.23,1.22,1.28,1.50,1.97,2.39,3.19,3.79,4.13,5.09,
12/04/2002,1.23,1.22,1.29,1.53,2.02,2.45,3.25,3.85,4.18,5.14,
12/03/2002,1.23,1.23,1.31,1.57,2.08,2.53,3.33,3.92,4.24,5.18,
12/02/2002,1.26,1.24,1.31,1.56,2.07,2.51,3.31,3.89,4.22,5.17,
11/29/2002,1.25,1.22,1.30,1.56,2.08,2.51,3.28,3.88,4.22,5.18,
11/27/2002,1.28,1.23,1.30,1.58,2.13,2.58,3.34,3.93,4.26,5.23,
11/26/2002,1.27,1.22,1.28,1.51,1.97,2.38,3.14,3.71,4.08,5.03,
11/25/2002,1.24,1.24,1.30,1.56,2.09,2.51,3.26,3.85,4.19,5.13,
11/22/2002,1.23,1.23,1.29,1.54,2.10,2.52,3.26,3.84,4.18,5.12,
11/21/2002,1.23,1.22,1.27,1.52,2.05,2.46,3.20,3.80,4.14,5.10,
11/20/2002,1.22,1.22,1.27,1.50,1.98,2.39,3.13,3.72,4.08,5.04,
11/19/2002,1.23,1.21,1.27,1.49,1.91,2.30,3.02,3.58,3.99,4.94,
11/18/2002,1.24,1.23,1.27,1.48,1.91,2.30,3.04,3.61,4.02,4.98,
11/15/2002,1.23,1.22,1.28,1.49,1.91,2.30,3.05,3.63,4.05,5.02,
