Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/31/2008,0.11,0.11,0.27,0.37,0.76,1.00,1.55,1.87,2.25,3.05,2.69
12/30/2008,0.11,0.10,0.26,0.34,0.75,0.94,1.47,1.76,2.11,2.88,2.58
12/29/2008,0.04,0.06,0.25,0.36,0.78,0.96,1.45,1.75,2.13,2.94,2.63
12/26/2008,0.01,0.03,0.23,0.38,0.89,1.08,1.51,1.80,2.16,2.91,2.61
12/24/2008,0.00,,0.23,0.40,0.90,1.14,1.54,1.83,2.20,2.94,2.63
12/23/2008,0.01,0.02,0.26,0.41,0.90,1.13,1.53,1.81,2.18,2.93,2.63
12/22/2008,0.01,0.01,0.27,0.40,0.87,1.12,1.40,1.70,2.16,2.92,2.60
12/19/2008,0.00,0.02,0.14,0.44,0.74,1.02,1.35,1.66,2.13,2.89,2.55
12/18/2008,0.03,,0.15,0.43,0.68,0.92,1.26,1.59,2.08,2.86,2.53
12/17/2008,0.03,0.05,0.19,0.45,0.73,0.98,1.35,1.70,2.20,3.01,2.66
12/16/2008,0.05,0.04,0.23,0.45,0.65,0.88,1.34,1.77,2.37,3.16,2.86
12/15/2008,0.00,0.03,0.28,0.50,0.75,1.02,1.50,1.92,2.53,3.29,2.98
12/12/2008,0.03,0.02,0.21,0.50,0.78,1.05,1.55,1.98,2.60,3.36,3.07
12/11/2008,0.00,0.01,0.22,0.51,0.79,1.11,1.55,1.99,2.64,3.35,3.07
12/10/2008,0.00,,0.21,0.49,0.86,1.21,1.62,2.05,2.69,3.39,3.09
12/09/2008,0.04,0.03,0.25,0.49,0.84,1.15,1.61,2.03,2.67,3.35,3.06
12/08/2008,0.01,0.03,0.28,0.53,0.97,1.27,1.76,2.17,2.77,3.45,3.16
12/05/2008,0.02,0.02,0.23,0.54,0.93,1.19,1.67,2.09,2.67,3.41,3.11
12/04/2008,0.01,0.02,0.26,0.61,0.82,1.02,1.51,1.93,2.55,3.35,3.06
12/03/2008,0.02,0.02,0.35,0.70,0.87,1.07,1.60,2.03,2.67,3.45,3.17
12/02/2008,0.04,0.06,0.42,0.77,0.90,1.12,1.65,2.08,2.68,3.47,3.18
12/01/2008,0.09,0.07,0.44,0.81,0.90,1.16,1.71,2.13,2.72,3.51,3.22
11/28/2008,0.02,0.01,0.44,0.90,1.00,1.27,1.93,2.35,2.93,3.71,3.45
11/26/2008,0.02,0.05,0.48,0.93,1.09,1.38,2.01,2.43,2.99,3.77,3.54
11/25/2008,0.04,0.10,0.53,0.95,1.15,1.41,2.06,2.49,3.11,3.85,3.63
11/24/2008,0.01,0.13,0.54,0.95,1.31,1.53,2.24,2.71,3.35,4.01,3.78
11/21/2008,0.03,0.02,0.45,0.83,1.09,1.35,2.02,2.53,3.20,3.93,3.70
11/20/2008,0.05,0.03,0.52,0.87,1.00,1.20,1.94,2.43,3.10,3.87,3.64
11/19/2008,0.09,0.07,0.66,0.97,1.09,1.36,2.08,2.64,3.38,4.17,3.96
11/18/2008,0.10,0.12,0.76,1.05,1.15,1.44,2.22,2.79,3.53,4.32,4.14
11/17/2008,0.06,0.12,0.81,1.08,1.22,1.53,2.32,2.92,3.68,4.42,4.20
11/14/2008,0.06,0.15,0.90,1.14,1.22,1.53,2.33,2.94,3.72,4.43,4.22
11/13/2008,0.08,0.22,0.93,1.16,1.24,1.62,2.43,3.07,3.84,4.57,4.34
11/12/2008,0.10,0.18,0.75,1.03,1.19,1.60,2.37,3.00,3.75,4.44,4.17
11/10/2008,0.11,0.29,0.91,1.16,1.27,1.78,2.51,3.06,3.82,4.50,4.21
11/07/2008,0.13,0.31,0.83,1.20,1.33,1.71,2.56,3.11,3.83,4.57,4.25
11/06/2008,0.13,0.32,0.83,1.17,1.28,1.63,2.46,3.01,3.75,4.52,4.19
11/05/2008,0.16,0.40,0.90,1.22,1.36,1.64,2.50,2.99,3.73,4.49,4.13
11/04/2008,0.29,0.48,1.03,1.28,1.39,1.59,2.56,3.06,3.81,4.58,4.20
11/03/2008,0.20,0.49,1.07,1.31,1.45,1.69,2.71,3.21,3.96,4.73,4.33
10/31/2008,0.12,0.46,0.94,1.34,1.56,1.80,2.80,3.29,4.01,4.74,4.35
10/30/2008,0.14,0.41,1.00,1.36,1.59,1.82,2.84,3.30,4.00,4.67,4.30
10/29/2008,0.41,0.62,1.10,1.41,1.58,1.79,2.77,3.24,3.93,4.59,4.26
10/28/2008,0.42,0.77,1.25,1.53,1.65,1.85,2.75,3.21,3.89,4.51,4.19
10/27/2008,0.31,0.84,1.36,1.57,1.59,1.83,2.67,3.12,3.79,4.43,4.12
10/24/2008,0.33,0.89,1.43,1.60,1.57,1.80,2.64,3.09,3.76,4.44,4.11
10/23/2008,0.39,0.98,1.51,1.61,1.54,1.76,2.57,3.00,3.63,4.34,3.99
10/22/2008,0.60,1.05,1.53,1.64,1.53,1.79,2.56,3.00,3.65,4.42,4.07
10/21/2008,0.71,1.10,1.61,1.74,1.58,1.86,2.63,3.08,3.76,4.52,4.20
10/20/2008,0.53,1.24,1.74,1.69,1.71,2.00,2.82,3.26,3.91,4.60,4.26
10/17/2008,0.13,0.83,1.25,1.34,1.64,1.90,2.83,3.30,3.98,4.66,4.32
10/16/2008,0.12,0.46,1.18,1.29,1.61,1.90,2.84,3.33,3.99,4.59,4.25
10/15/2008,0.05,0.22,0.92,1.14,1.64,1.91,2.90,3.40,4.04,4.57,4.25
10/14/2008,0.07,0.34,1.07,1.22,1.82,2.06,3.01,3.48,4.08,4.57,4.27
10/10/2008,0.07,0.25,0.84,1.08,1.62,1.87,2.77,3.27,3.89,4.41,4.15
10/09/2008,0.19,0.60,1.07,1.33,1.65,1.93,2.79,3.25,3.84,4.41,4.14
10/08/2008,0.23,0.68,1.07,1.28,1.65,1.88,2.70,3.15,3.72,4.31,4.09
10/07/2008,0.39,0.82,1.14,1.27,1.47,1.69,2.45,2.91,3.50,4.15,4.01
10/06/2008,0.19,0.54,1.12,1.23,1.43,1.69,2.45,2.92,3.48,4.12,3.99
10/03/2008,0.15,0.51,1.14,1.41,1.60,1.86,2.64,3.09,3.63,4.26,4.11
10/02/2008,0.21,0.63,1.21,1.45,1.62,1.91,2.68,3.13,3.66,4.28,4.16
10/01/2008,0.66,0.85,1.49,1.72,1.82,2.12,2.87,3.29,3.77,4.33,4.22
09/30/2008,1.02,0.92,1.60,1.78,2.00,2.28,2.98,3.38,3.85,4.43,4.31
09/29/2008,0.16,0.94,1.49,1.60,1.70,1.96,2.70,3.12,3.61,4.21,4.13
09/26/2008,0.21,0.87,1.54,1.81,2.11,2.38,3.05,3.41,3.85,4.44,4.36
09/25/2008,0.39,0.76,1.57,1.97,2.16,2.42,3.09,3.44,3.88,4.48,4.40
09/24/2008,0.13,0.49,1.45,1.90,2.03,2.26,2.91,3.31,3.80,4.48,4.40
09/23/2008,0.30,0.80,1.63,2.01,2.11,2.40,3.03,3.41,3.85,4.50,4.43
09/22/2008,0.76,1.28,1.76,2.06,2.13,2.41,3.04,3.42,3.83,4.48,4.41
09/19/2008,0.75,0.99,1.54,2.05,2.16,2.42,3.01,3.37,3.78,4.42,4.36
09/18/2008,0.26,0.23,0.79,1.53,1.78,2.05,2.67,3.08,3.54,4.19,4.14
09/17/2008,0.07,0.03,1.03,1.50,1.64,1.91,2.52,2.93,3.41,4.12,4.08
09/16/2008,0.23,0.84,1.52,1.72,1.89,2.12,2.64,3.02,3.48,4.12,4.08
09/15/2008,0.36,1.02,1.55,1.66,1.78,2.01,2.59,2.99,3.47,4.14,4.12
